#{"t_start": 1783678883.705587, "env_id": "None"}
r,l,t
813.51324,682,448.429227
812.15431,680,450.006442
809.721717,681,450.622332
594.662309,663,451.221086
812.37913,681,452.96281
810.916224,679,453.574704
811.079517,679,454.1893
808.976981,676,455.775384
812.301032,678,456.409128
813.271372,679,457.061029
814.391294,679,458.657734
815.008386,679,459.280132
813.823007,680,459.911473
812.824163,679,461.534312
807.827327,678,462.192808
808.687538,679,462.805056
589.216041,657,464.367427
79.893734,205,464.558649
806.789101,677,465.180454
804.554421,677,465.792222
806.713528,677,467.412714
804.881808,676,468.024586
806.188487,675,468.637027
806.006304,675,470.225581
808.765024,676,470.835807
808.65308,677,471.445297
809.645278,677,473.083983
807.890522,678,473.708147
812.207535,678,474.321343
808.682889,678,475.906642
808.308062,677,476.524677
808.270813,677,477.138148
807.415723,678,478.791206
807.672444,677,479.446435
807.28199,676,480.057166
809.595269,676,481.645465
808.901148,676,482.256676
808.958574,676,482.883953
808.063954,676,484.488579
807.820168,676,485.113194
806.339438,674,485.715972
806.101904,674,487.313348
808.383019,676,487.925353
807.902554,676,488.566971
807.638972,677,490.163409
806.940479,674,490.778458
806.476316,674,491.390403
807.773182,676,492.963842
807.202498,675,493.609417
807.771918,674,494.220007
807.215024,674,495.78412
805.556036,673,496.399272
807.075914,672,497.016778
806.019104,672,498.658898
809.610499,676,499.288665
810.063126,676,499.913538
808.48085,673,501.478885
809.985023,674,502.105547
807.614537,675,502.727706
808.146594,674,504.33589
806.602779,672,505.01954
807.530642,673,505.721298
806.073962,674,507.813388
804.526332,671,508.556136
805.622231,672,509.321244
805.95679,673,511.124925
807.789798,673,511.835132
806.29489,672,512.547506
807.306085,673,513.243269
805.420706,672,515.084886
806.893469,673,515.809088
804.342269,673,516.54757
805.156555,673,518.466657
805.877373,673,519.102663
804.59889,671,519.80231
804.930758,670,521.581543
804.555254,672,522.290701
803.239232,670,522.925988
