#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
-93.940048,11,8.626568
-94.704787,10,8.639545
-71.355821,40,8.683059
-76.999336,32,8.719294
-91.757341,15,8.741462
-87.286023,21,8.768322
-94.358297,10,8.781872
-91.95799,16,8.79669
-90.582409,16,8.819955
-75.970971,32,8.855291
-91.625497,15,8.875423
-95.700454,10,8.889545
-78.695134,29,8.920247
-94.878584,10,8.931344
-91.29639,15,8.943965
-94.012119,11,8.953557
-84.290277,25,8.977432
-96.68457,7,8.986603
-74.310521,36,9.030577
-71.098418,38,9.066564
-83.682476,24,9.096457
-78.719108,29,9.130058
-95.161253,9,9.140198
-94.551249,10,9.151942
-82.410393,27,9.184875
-82.882322,27,9.215821
-91.037389,16,9.236563
-92.086768,14,9.253825
-85.773434,22,9.278373
-83.505306,26,9.30604
-91.646527,15,9.325451
-74.477012,36,9.355985
-84.624701,23,9.383491
-94.860936,10,9.391648
-75.839207,33,9.43025
-91.400099,15,9.444167
-93.850136,12,9.457667
-85.600812,21,9.48228
-85.263367,24,9.510518
-93.050765,12,9.521472
-77.34982,31,9.557446
-82.492707,26,9.587772
-68.218763,41,9.631661
-94.531701,10,9.645997
-68.637715,42,9.690142
-90.68524,16,9.703801
-85.731848,21,9.726444
-86.765964,21,9.749306
-75.131906,34,9.782494
-89.08169,18,9.798623
-87.10832,21,9.8167
-82.102826,26,9.840518
-80.625264,28,9.874054
-83.991908,24,9.897177
-95.033859,10,9.906612
-80.71591,26,9.929812
-81.637139,28,9.959003
-84.723009,24,9.981175
-93.933437,12,9.991697
-94.416213,11,10.001393
-84.498576,23,10.024894
-95.327751,9,10.035911
-90.579852,16,10.049383
-85.875859,23,10.068605
-92.292066,13,10.087226
-89.333279,18,10.105707
-68.800644,41,10.14815
-92.800172,13,10.167958
-90.618837,16,10.185321
-87.334889,20,10.20673
-83.655985,23,10.230344
-93.618136,12,10.240627
-84.241832,24,10.263838
-82.768071,25,10.284693
-82.730648,28,10.311228
-84.466153,23,10.334687
-85.403856,24,10.359229
-70.478456,39,10.400012
-82.456679,26,10.425884
-77.819336,31,10.463534
-84.783633,22,10.49439
-83.273021,24,10.525056
-74.7096,34,10.561317
-87.78901,18,10.579236
-82.804696,24,10.614503
-82.568967,24,10.643611
-76.023626,32,10.685107
-87.911438,19,10.708014
-89.017597,19,10.730755
-87.647458,19,10.749911
-71.983011,37,10.796343
-91.700174,15,10.812902
-79.822968,28,10.857234
-82.473669,26,10.89403
-70.028975,39,10.946423
-89.777897,17,10.966085
-78.353005,29,11.007565
-83.769964,23,11.036076
-93.551648,12,11.053718
-80.499569,29,11.092945
-94.309782,10,11.110119
-75.889105,34,11.149198
-79.927186,28,11.187571
-92.207098,15,11.209656
-90.546196,16,11.238247
-92.437356,15,11.261992
-91.285312,14,11.284591
-79.991953,27,11.321111
-71.432609,38,11.378234
-89.292348,17,11.399205
-90.46433,18,11.422709
-81.186213,26,11.452681
-85.632492,23,11.485882
-85.057618,24,11.510886
-88.18178,18,11.528978
-92.822046,14,11.54455
-82.03902,27,11.578074
-81.545892,30,11.615382
-72.120091,37,11.657087
-78.218375,30,11.69544
-95.505671,9,11.707915
-90.315789,18,11.729425
-89.039983,18,11.752848
-89.539194,17,11.771349
-73.100218,35,11.821014
-92.803567,12,11.835939
-88.796567,19,11.855253
-74.063293,36,11.898625
-83.945759,25,11.927299
-77.444036,30,11.963451
-86.052862,22,11.991714
-89.757639,16,12.009605
-84.8414,22,12.041003
-61.799191,56,12.099225
-81.739724,26,12.131158
-91.823593,16,12.148951
-80.123808,31,12.188078
-78.282386,30,12.221065
-83.172972,24,12.250926
-82.819445,24,12.276437
-83.385835,25,12.308707
-75.263766,35,12.347784
-88.823118,19,12.374144
-88.966938,19,12.398253
-89.719594,17,12.424625
-90.886737,17,12.443938
-86.474388,20,12.469152
-89.277373,19,12.498097
-84.751085,24,12.531528
-94.324528,10,12.540181
-91.430622,14,12.559083
-79.468316,28,12.598457
-92.846281,13,12.618336
-81.005998,30,12.657219
-81.475157,26,12.687042
-71.501714,39,12.74118
-81.02394,27,12.777963
-64.089564,46,12.830136
-83.795856,24,12.854392
-78.156878,28,12.891604
-84.930781,23,12.924217
-92.872211,15,12.942708
-87.292968,16,12.960644
-88.896999,18,12.981215
-69.051609,42,13.037445
-70.278788,40,13.089908
-74.599802,38,13.144582
-90.220469,17,13.163432
-93.815813,11,13.180089
-78.258305,31,13.217427
-94.58808,11,13.232126
-85.891721,22,13.254941
-83.112448,28,13.29123
-92.707233,12,13.302968
-84.497648,22,13.32728
-91.722913,13,13.34643
-79.271106,28,13.39738
-91.047871,15,13.41484
-90.327804,17,13.434784
-71.393268,38,13.473616
-91.671923,14,13.495279
-77.289678,33,13.533569
-66.750577,44,13.588448
-92.43367,14,13.606348
-74.180539,35,13.648866
-80.84587,28,13.681209
-82.865648,27,13.714281
-72.496144,37,13.759341
-59.699585,53,13.829997
-95.278269,9,13.842193
-58.485671,53,13.903948
-94.307824,12,13.916133
